id,genres,imdbRating,weighting
5bc6850115307d543319b9f7,Comedy*Family,6.3,19.3
5bc6850215307d543319b9f8,Documentary,7.9,11.9
5bc6850415307d543319b9f9,Drama*Horror*Thriller,6.8,31.8
5bc6850515307d543319b9fa,Drama,6.4,22.4
5bc6850715307d543319b9fb,Horror,3.5,7.5
5bc6850815307d543319b9fc,Comedy*Drama,6.9,33.9
5bc6850b15307d543319b9fd,Action,7.2,12.2
5bc6850c15307d543319b9fe,Comedy,5.9,16.9
5bc6850e15307d543319b9ff,Drama*Mystery*Romance,6.9,29.9
5bc6850f15307d543319ba00,Drama,7.1,23.1
5bc6851015307d543319ba01,Action*Drama*Romance,5.8,31.8
5bc6851115307d543319ba02,Action*Comedy*Romance,6.1,27.1
5bc6851215307d543319ba03,Drama,5.6,21.6
5bc6851315307d543319ba04,Drama*Romance,7.3,28.3
5bc6851415307d543319ba05,Comedy*Drama,5.5,32.5
5bc6851515307d543319ba06,Drama,7,23.0
5bc6851615307d543319ba07,Animation*Family*Fantasy,5,11.0
5bc6851715307d543319ba08,Comedy*Drama,6,33.0
5bc6851815307d543319ba09,Horror*Music,4.7,10.7
5bc6851915307d543319ba0a,Documentary,7.8,11.8
5bc6851a15307d543319ba0b,Drama,8.1,24.1
5bc6851c15307d543319ba0c,Action*Crime*Thriller,6.5,21.5
5bc6851d15307d543319ba0d,Adventure*Drama,7.9,27.9
5bc6851e15307d543319ba0e,Comedy*Drama*Romance,8,40.0
5bc6851f15307d543319ba0f,Animation*Comedy*Horror,3.8,20.8
5bc6852015307d543319ba10,Drama,7.5,23.5
5bc6852115307d543319ba11,Comedy*Drama*Family,6.6,35.6
5bc6852215307d543319ba12,Crime*Drama,7.3,28.3
5bc6852415307d543319ba13,Comedy*Horror,3.8,18.8
5bc6852515307d543319ba14,Comedy*Drama*Romance,7.3,39.3
5bc6852615307d543319ba15,Horror*Thriller,4.7,13.7
5bc6852715307d543319ba16,Drama*Thriller,7.6,28.6
5bc6852915307d543319ba17,Comedy,6.8,17.8
5bc6852a15307d543319ba18,Documentary*Comedy,7.9,22.9
5bc6852b15307d543319ba19,Crime*Drama*Mystery,8.2,31.2
5bc6852c15307d543319ba1a,Crime*Drama*Mystery,7.8,30.8
5bc6852e15307d543319ba1b,Documentary,6,10.0
5bc6852f15307d543319ba1c,Crime*Drama*Mystery,8.4,31.4
5bc6853015307d543319ba1d,Documentary*Biography*Music,8.2,16.2
5bc6853115307d543319ba1e,Horror*Thriller,5.9,14.9
5bc6853215307d543319ba1f,Action*Crime*Drama*Thriller,6.1,37.1
5bc6853415307d543319ba20,Action*Adventure*Drama,4.7,29.7
5bc6853615307d543319ba21,Documentary*Adventure*History,7.5,17.5
5bc6853715307d543319ba22,Horror*Thriller,4.1,13.1
5bc6853715307d543319ba23,Documentary*Biography*Drama,6.8,28.8
5bc6853815307d543319ba24,Drama,None,21
5bc6853915307d543319ba25,Documentary,8,12.0
5bc6853a15307d543319ba26,Crime*Drama*Thriller,8.3,34.3
5bc6853b15307d543319ba27,Crime*Drama*Mystery,7.9,30.9
5bc6853d15307d543319ba28,Drama*Sci-Fi,6.5,24.5
5bc6853e15307d543319ba29,Documentary*Adventure*Drama,4.4,28.4
5bc6853f15307d543319ba2a,Comedy*Romance,5.4,21.4
5bc6854015307d543319ba2b,Documentary,7.3,11.3
5bc6854015307d543319ba2c,Comedy*Romance,6.5,22.5
5bc6854115307d543319ba2d,Drama*Horror*Thriller,5.7,30.7
5bc6854215307d543319ba2e,Drama,5.5,21.5
5bc6854315307d543319ba2f,Western,6.3,7.3
5bc6854415307d543319ba30,Musical*Comedy,6.6,18.6
5bc6854515307d543319ba31,Documentary*Crime,8.1,17.1
5bc6854615307d543319ba32,Comedy*Romance,5.3,21.3
5bc6854715307d543319ba33,Drama*Mystery*Romance,7.1,30.1
5bc6854815307d543319ba34,Comedy,8.3,19.3
5bc6854915307d543319ba35,Comedy*Drama*Romance,7,39.0
5bc6854c15307d543319ba36,Comedy*Crime,6.6,22.6
5bc6854e15307d543319ba37,Comedy,6,17.0
5bc6854f15307d543319ba38,Comedy*Music*Romance,7.2,25.2
5bc6854f15307d543319ba39,Action*Thriller,4.9,14.9
5bc6855015307d543319ba3a,Comedy*Drama*Romance,6.2,38.2
5bc6855215307d543319ba3b,None,None,5
5bc6855315307d543319ba3c,Drama*Fantasy*Thriller,4.7,27.7
5bc6855415307d543319ba3d,Action*Adventure*Comedy,6.8,26.8
5bc6855515307d543319ba3e,Thriller,5.9,10.9
5bc6855615307d543319ba3f,Documentary*History,7.4,13.4
5bc6855715307d543319ba40,Documentary*Music,8.5,14.5
5bc6855715307d543319ba41,Animation*Short*Comedy,7.3,22.3
5bc6855815307d543319ba42,Action*Crime*Drama,7.4,33.4
5bc6855915307d543319ba43,Biography*Crime*Drama,6.4,29.4
5bc6855a15307d543319ba44,Drama,7.1,23.1
5bc6855b15307d543319ba45,Comedy,5.6,16.6
5bc6855e15307d543319ba46,Adventure*Fantasy,4.5,10.5
5bc6855e15307d543319ba47,Adventure*Comedy*Fantasy,5.3,22.3
5bc6855f15307d543319ba48,Horror*Thriller,5.1,14.1
5bc6856015307d543319ba49,Documentary*Biography*Sport,7.8,14.8
5bc6856115307d543319ba4a,Drama*History*Romance,6.7,29.7
5bc6856315307d543319ba4b,Drama*Short,7.6,25.6
5bc6856415307d543319ba4c,Documentary*Biography,7,13.0
5bc6856515307d543319ba4d,Documentary*Horror,6.9,14.9
5bc6856615307d543319ba4e,Comedy*Crime*Drama,7.1,39.1
5bc6856915307d543319ba4f,Documentary,7.6,11.6
5bc6856a15307d543319ba50,Horror*Thriller,4.9,13.9
5bc6856b15307d543319ba51,Comedy,3.3,14.3
5bc6856c15307d543319ba52,Animation*Short*Comedy,7.1,22.1
5bc6856d15307d543319ba53,Biography*History,7.4,11.4
5bc6856e15307d543319ba54,Documentary*Biography*History,7,15.0
5bc6856f15307d543319ba55,Comedy,6.4,17.4
5bc6857115307d543319ba56,Adventure*Comedy,6.1,21.1
5bc6857215307d543319ba57,Action*Horror*Sci-Fi,5.4,16.4
5bc6857215307d543319ba58,Drama*Sport,6.8,23.8
5bc6857315307d543319ba59,Crime*Drama*Film-Noir,6.6,28.6
5bc6857415307d543319ba5a,Drama*Thriller,6.2,27.2
5bc6857515307d543319ba5b,Drama*Sci-Fi,7.7,25.7
5bc6857615307d543319ba5c,Crime*Drama*History,7.4,30.4
